,Image,Accuracy,F1,Jaccard,Recall,Precision
216,pexels-photo-305832_0,0.9940757751464844,0.692414339473163,0.5295365040896698,0.5393397099660598,0.9668141592920354
217,pexels-photo-306980_0,0.9902000427246094,0.9798036178960857,0.9604068736996224,0.995606397085843,0.9644946602693082
218,pexels-photo-310386_0,0.9989891052246094,0.8515406162464986,0.7414634146341463,0.9921671018276762,0.745829244357213
219,pexels-photo-310825_0,0.9937667846679688,0.9637597586941093,0.9300543641111254,0.9981623558597877,0.9316495862098538
220,pexels-photo-313690_0,0.9093017578125,0.9086016545191745,0.8325114824311759,0.9872933392369321,0.8415281090896144
221,pexels-photo-314373_0,0.9981231689453125,0.9918526859640988,0.9838370565045992,0.9935637980226926,0.9901474575150433
222,pexels-photo-318209_0,0.9972953796386719,0.9961010322091035,0.9922323502344538,0.9960298257962343,0.9961722488038277
223,pexels-photo-318236_0,0.9525032043457031,0.942886107071921,0.8919437284664185,0.9487570042556334,0.9370874211313323
224,pexels-photo-318377_0,0.9760246276855469,0.977614252793321,0.9562088042251362,0.9937365135914035,0.9620067714868531
225,pexels-photo-319961_0,0.9931755065917969,0.9885545752909338,0.9773681813581622,0.9818646264900999,0.995336313626467
226,pexels-photo-321576_0,0.9952735900878906,0.9923706426763712,0.9848568180984857,0.9934044258152006,0.991339008907042
227,pexels-photo-322484_0,0.9321327209472656,0.8842613373927412,0.7925344590339809,0.7938953590243788,0.9978417266187051
228,pexels-photo-325523_0,0.995391845703125,0.9904770914136157,0.9811338435108543,0.9930134041476986,0.9879537019563439
